tab_id,intended_users_jobs,states_tested,functionality_data_integrity,utility_task_completeness,ease_workflow_efficiency,simplicity_information_architecture,visual_design_consistency,accessibility_role_access,performance_resilience_observability,weighted_score_0_to_5,weighted_percent,blockers,finding_ids,automation_coverage,verdict,principal_risk
contacts,"owner office sales; maintain customer/property history and actions","static normal/empty/paging/error/destructive branches; runtime none",5,5,5,2,4,2,3,3.95,79,"global auth gate; shared-address/destructive runtime fixtures unavailable","TEAM-AUTHZ-002;TEAM-AUTHZ-003;TEAM-AUTHZ-004;TEAM-DATA-008;TEAM-DATA-009","all-tab smoke/screenshot and anonymous-analysis case declared; DB mutation assertions pending",Simplify,"Detail pane combines identity properties booking partner photos tasks notes AI and deletion"
owner,"owner; reconcile revenue payments expenses payroll and P&L","static normal/empty/error/request-topology branches; runtime none",5,5,4,2,4,3,3,3.95,79,"global auth gate; financial/provider fixtures unavailable","TEAM-AUTH-001;TEAM-PERF-018;TEAM-QUAL-020","all-tab smoke/screenshot declared; money-close journey pending",Simplify,"High-stakes totals are broadly fetched before subview selection"
policy,"owner/policy administrator; configure operational policies","static normal/error/advanced-JSON branches; runtime none",5,5,3,2,4,1,4,3.60,72,"permission/render mismatch; version/concurrency fixtures unavailable","TEAM-AUTHZ-005;TEAM-IA-021;TEAM-QUAL-020","all-tab smoke/screenshot and office direct-URL case declared; cross-effect assertions pending",Advanced,"Fourteen independent editors and advanced JSON create overwrite and precedence risk"
commissions,"owner/payroll administrator; calculate lock pay and export payouts","static normal/empty/locked/upload branches; runtime none",5,5,3,3,4,1,4,3.70,74,"valid team owner blocked by legacy-only proxies; money fixtures unavailable","TEAM-AUTHZ-004;TEAM-DATA-008;TEAM-QUAL-020","all-tab smoke/screenshot declared; money-close/idempotency assertions pending",Advanced,"Lock pay reimbursements uploads and exports require idempotency and recovery proof"
google-ads,"owner/marketing operator; review sync reports and recommendations","static configured/unconfigured/error branches; runtime none",5,4,3,2,4,1,4,3.45,69,"permission/render mismatch; Google sandbox unavailable","TEAM-AUTHZ-005;TEAM-IA-021;TEAM-QUAL-020","all-tab smoke/screenshot declared; apply/idempotency/provider assertions pending","Combine into Marketing","Dense recommendation lifecycle is too large for a separate navigation model"
web-analytics,"owner/marketing operator; inspect funnel traffic errors and vitals","static normal/partial-error/zero branches; runtime none",4,4,3,3,4,1,3,3.20,64,"permission/render mismatch; provider/network capture unavailable","TEAM-AUTHZ-005;TEAM-REL-015;TEAM-PRIV-019","all-tab smoke/screenshot declared; metric reconciliation/privacy assertions pending","Combine into Marketing","Partial endpoint failure can produce incomplete zero-looking panels"
seo,"owner/marketing operator; inspect readiness and run publishing agent","static ready/unready/error branches; runtime none",3,3,3,4,4,1,4,3.00,60,"permission/render mismatch; publishing/provider sandbox unavailable","TEAM-AUTHZ-005;TEAM-IA-021;TEAM-QUAL-020","all-tab smoke/screenshot declared; duplicate-run/publication-boundary assertions pending","Combine into Marketing","A small operational panel does not justify a top-level destination"
automation,"owner/automation administrator; configure modes planners and safeguards","static normal/error/raw-control branches; runtime none",5,5,2,1,3,1,4,3.25,65,"unguarded proxies; provider/AI fixtures unavailable","TEAM-AUTHZ-002;TEAM-AUTHZ-005;TEAM-IA-021","all-tab smoke/screenshot declared; automation-safety journey pending","Advanced + simplify","New autopilot controls legacy modes and raw-ID kill switches duplicate mental models"
access,"owner/access administrator; manage roles members grants denies and revocation","static normal/danger-zone branches; runtime none",5,5,2,2,3,1,3,3.25,65,"authentication/role model P0s; multi-session runtime unavailable","TEAM-AUTH-001;TEAM-AUTHZ-003;TEAM-AUTHZ-005;TEAM-SEC-011;TEAM-ACCESS-025","all-tab smoke/screenshot plus role/forged/inactive/expired/custom cases declared",Advanced,"Free-form permissions and destructive account controls need hard server invariants"
sales-log,"owner/supervisor; review grouped sales activity","static normal/empty/dense branches; runtime none",4,4,3,2,4,1,3,3.10,62,"permission/render mismatch; dense data unavailable","TEAM-AUTHZ-005;TEAM-IA-021;TEAM-QUAL-020","all-tab smoke/screenshot declared; filter/volume assertions pending","Combine with Sales HQ","Supervisor metrics overlap Sales HQ while the feed overlaps Audit Log"
audit,"owner/auditor; investigate sensitive activity","static normal/empty/50-row-limit branches; runtime none",2,3,2,5,3,1,3,2.50,50,"permission/render mismatch; sensitive-action replay unavailable","TEAM-AUTHZ-005;TEAM-AUDIT-023;TEAM-QUAL-020","all-tab smoke/screenshot declared; action-coverage/correlation assertions pending",Advanced,"Latest 50 only with no filter search pagination export correlation or detail"
merge,"owner/data steward; scan review and consolidate duplicates","static normal/empty/destructive branches; runtime none",4,4,2,4,3,1,3,3.05,61,"auth P0; destructive fixtures/recovery unavailable","TEAM-AUTH-001;TEAM-DATA-008;TEAM-QUAL-020","all-tab smoke/screenshot declared; preview/concurrency/recovery assertions pending",Advanced,"Raw UUID merge and one-click approval lack impact preview confirmation and recovery"
settings,"all intended users; manage account session calling export and diagnostics","static normal/success/error branches; runtime none",4,4,5,3,3,2,4,3.65,73,"role authentication inconsistencies; export/session runtime unavailable","TEAM-AUTH-001;TEAM-AUTHZ-003;TEAM-AUTHUX-024;TEAM-PRIV-019","all-tab smoke/screenshot and role landing/setup cases declared; export/revocation assertions pending",Simplify,"Personal settings emergency logout export and diagnostics are mixed together"
