"surface_id","sensitive_action","invoking_ui_or_action","site_auth_gate","upstream_auth_permission","audit_attribution","static_result","risk_or_runtime_gap","evidence"
"owner","Reconcile/retry/dismiss Square/Stripe records and acknowledge refund impact","Owner HQ Payments forms -> paymentReconciliationAction -> POST /api/admin/payments/reconciliation","Page renders owner-only; server action has no action-local principal check","Admin key plus payments.manage and explicit actor role === owner","Operation-specific payment.square.* or payment.stripe.owner_resolved with actor and target metadata","static-mixed","Upstream independently requires owner and audits, but the forged legacy owner cookie bypass makes actor role owner and label team-console; money/provider correctness, leases, retries, and concurrency require sandbox replay","apps/site/src/app/team/actions.ts:640-792; apps/api/app/api/admin/payments/reconciliation/route.ts:92-103,435-668; apps/site/src/app/team/lib/api.ts:69-147"
"commissions","Lock payout run or mark it paid","Commissions forms -> POST /api/team/commissions/payout-runs -> lock/mark-paid upstream","Site route requires only presence of legacy myst-admin-session and rejects a valid team-owner session without it","Admin key plus access.manage","commission.payout_run.locked or commission.payout_run.paid with forwarded actor","static-fail","Supported team owner is blocked while any forged legacy cookie is accepted; financial state transitions can be misattributed to team-console. Immutability/idempotency/concurrency need runtime proof","apps/site/src/app/api/team/commissions/payout-runs/route.ts:8-68; apps/api/app/api/admin/commissions/payout-runs/[payoutRunId]/lock/route.ts:12-37; apps/api/app/api/admin/commissions/payout-runs/[payoutRunId]/mark-paid/route.ts:12-36"
"policy","Update business/booking/persona/template/review policy card","Policy card forms -> updatePolicyAction/specialized actions -> POST /api/admin/policy","Page renders owner-only; server actions have no action-local principal check","Admin key plus policy.write","policy.update with setting key and forwarded actor","static-mixed","Upstream validation/audit exist, but identity-less action calls can pass fail-open permission resolution when no default actor is injected; per-card isolation, JSON round trip, and downstream effects need fixture replay","apps/site/src/app/team/actions.ts:3011-3678; apps/api/app/api/admin/policy/route.ts:100-155; apps/api/src/lib/permissions.ts:131-138"
"automation","Change channel mode or per-lead pause/DNC/human takeover","Automation forms -> updateAutomationModeAction/updateLeadAutomationAction -> automation endpoints","Page renders owner-only; server actions have no action-local principal check","Admin key plus automation.write","automation.mode.update or automation.lead.update with forwarded actor","static-mixed","Upstream checks/audits exist, but identity-less calls can pass fail-open permission resolution when no default actor is injected; precedence, rollback, quiet hours, and real-send safeguards need runtime proof","apps/site/src/app/team/actions.ts:3680-3713,3936-4011; apps/api/app/api/admin/automation/route.ts:55-111; apps/api/app/api/admin/automation/lead/route.ts:84-166; apps/api/src/lib/permissions.ts:131-138"
"access","Create/update/deactivate/delete team member and change grants/denies","Access forms -> /api/team/access/members routes -> /api/admin/team/members","Site route validates a team owner session, but also accepts any nonempty legacy admin cookie as owner","Admin key plus access.manage","team_member.created/updated/deleted with forwarded actor","static-fail","Forged legacy cookie bypasses site and upstream as owner; self-deactivation, last-owner protection, session revocation, and immediate permission propagation need runtime proof","apps/site/src/app/api/team/access/members/route.ts:13-45,45-93; apps/site/src/app/api/team/access/members/[memberId]/route.ts:13-45,45-127; apps/site/src/app/api/team/access/members/[memberId]/delete/route.ts:13-45,45-84; apps/api/app/api/admin/team/members/[memberId]/route.ts:80-86,283-390"
"sales-log","read-only/no mutation identified","Member/date filter GET -> /api/admin/sales/activity and /api/admin/team/members","Page renders owner-only","Admin key plus audit.read on activity; access.manage on team member directory","No read audit identified","read-only-reviewed","No mutation UI was found; runtime authorization, large-data paging, PII exposure, and overlap with Audit Log remain unverified","apps/site/src/app/team/components/SalesActivityLogSection.tsx:250-320; apps/api/app/api/admin/sales/activity/route.ts:584-592; apps/api/app/api/admin/team/members/route.ts:36-42"
"audit","read-only/no mutation identified","Audit Log server component -> GET /api/admin/audit?limit=50","Page renders owner-only","Admin key plus audit.read","No read audit identified; returned records expose existing actor/action/entity/meta fields","read-only-reviewed","No write/delete endpoint is exposed by this surface; tamper resistance, retention, failed-transaction coverage, and pagination beyond the fixed UI fetch need runtime/data review","apps/site/src/app/team/components/AuditLogSection.tsx:33-88; apps/api/app/api/admin/audit/route.ts:25-90"
"merge","Approve suggestion or manually consolidate two contacts","Merge Queue forms -> approveMergeSuggestionAction/manualMergeContactsAction -> merge endpoints","Page renders owner-only; server actions have no action-local principal check","Admin key plus contacts.merge","contact.merged with source, target, moved counts, and forwarded actor; decline/scan have distinct events","static-mixed","Upstream check/audit exist, but identity-less calls can pass fail-open permission resolution when no default actor is injected; preview omits related entities and recovery/concurrent review require runtime proof","apps/site/src/app/team/actions.ts:4013-4141; apps/api/app/api/admin/merge-suggestions/[suggestionId]/route.ts:17-25,57-128; apps/api/app/api/admin/merge/route.ts:8-59; apps/api/src/lib/permissions.ts:131-138"
"chat","Approve an Agent-proposed outbound text","Agent action card Confirm -> POST /api/chat/actions type=send_text -> ensure thread and queue message","Site route requires owner/office unless a valid agent-bot secret is presented; shared role helper accepts forged legacy owner cookie presence","Admin key plus messages.send on downstream thread/message routes","thread.created/message.queued with forwarded actor; UI also records only ephemeral local action history","static-mixed","UI requires explicit confirmation and downstream audit exists, but forged legacy auth and bot-principal boundaries need testing; prompt injection, duplicate click, and provider send remain unverified","apps/site/src/app/team/components/TeamChatClient.tsx:630-780; apps/site/src/app/api/chat/actions/route.ts:102-120,417-461; apps/api/app/api/admin/inbox/threads/[threadId]/messages/route.ts:35-43,307-317"
"settings","Export all eligible conversation text as JSONL","Settings Download conversations link -> GET /api/team/inbox/export -> streaming admin export","Site route accepts any nonempty legacy myst-admin-session cookie; valid team-owner session alone is rejected","Admin key plus messages.read; forged legacy cookie is forwarded as owner","No export/read audit identified","static-fail","Forged cookie enables bulk PII export and attribution is absent; output volume, completeness, media/draft exclusion, cancellation, and retention need runtime verification","apps/site/src/app/team/page.tsx:1040-1055; apps/site/src/app/api/team/inbox/export/route.ts:7-25; apps/api/app/api/admin/inbox/export/jsonl/route.ts:43-53; apps/site/src/app/team/lib/api.ts:69-147"
"settings","Set first password and revoke current session on logout","Settings forms -> teamSetPasswordAction/teamLogoutAction -> bearer-auth team endpoints","Password and logout helpers forward the current verified team-session bearer token","requireTeamSession for password; logout revokes the supplied session token","No password-change/logout audit event identified","static-mixed","Current-session auth is enforced, but password change does not visibly revoke other sessions and the callback sends setup users to the wrong tab; concurrent-session behavior needs runtime proof","apps/site/src/app/team/login/actions.ts:67-94; apps/api/app/api/team/password/route.ts:5-19; apps/api/app/api/team/logout/route.ts:5-14; apps/site/src/app/team/auth/route.ts:58-75"
"modern-shell","Authenticate principal before any /team tab render","GET /team with team session or legacy owner/crew cookie","Valid team session is resolved, but only owner/office/crew role slugs are accepted; any nonempty legacy cookie is accepted","Not applicable at page boundary; downstream callAdminApi injects the genuine admin key","No login/page-view audit; legacy calls may be labeled team-console","static-fail","Authentication bypass and role rejection affect every tab: forged cookies become owner/crew, while sales/read_only/custom principals are redirected","apps/site/src/app/team/page.tsx:145-220; apps/site/src/app/team/lib/api.ts:69-147; apps/site/src/app/api/team/auth.ts:18-40"
"login","Request magic link, causing email/SMS provider sends","Public login form -> requestTeamMagicLinkAction -> POST /api/public/team/request-link","Public by design; generic success response prevents account enumeration","No user permission; active member lookup then token creation and provider sends","No audit event identified; provider failures are console warnings","static-fail","No throttling/rate-limit check is present, so repeated requests can create tokens and send email/SMS; abuse, provider cost, and ambiguous duplicate identities need runtime testing","apps/site/src/app/team/login/actions.ts:22-36; apps/api/app/api/public/team/request-link/route.ts:10-75; apps/api/src/lib/team-auth.ts:159-179"
"login","Create session with email/password","Public login form -> teamPasswordLoginAction -> POST /api/public/team/login-password","Public credential endpoint; inactive/missing/password mismatch return generic invalid_credentials","No permission until session creation; active member plus password hash verification","No successful/failed login audit event identified","static-fail","No throttling/lockout check is present; brute-force resistance, concurrent sessions, and session-cookie behavior require runtime testing","apps/site/src/app/team/login/actions.ts:38-65; apps/api/app/api/public/team/login-password/route.ts:5-19; apps/api/src/lib/team-auth.ts:377-425"
"auth","Exchange one-time magic-link token for session","GET /team/auth?token=... -> POST /api/public/team/exchange","Public token endpoint; token must exist, be unexpired, and belong to an active member","No permission until session creation; token hash is deleted before session insert","No exchange/session audit event identified","static-fail","Sequential replay after a successful delete is rejected, but concurrent exchanges can both select the token before either unchecked delete and each insert a session; needsPasswordSetup redirects to /team?setup=1 instead of Settings","apps/site/src/app/team/auth/route.ts:44-75; apps/api/app/api/public/team/exchange/route.ts:5-22; apps/api/src/lib/team-auth.ts:182-249"
"password-setup","Set initial team-member password","Magic-link setup handoff -> Settings password form -> POST /api/team/password","Requires current bearer team session at the API","requireTeamSession; minimum length 10","No password-set audit event identified","static-mixed","The API gate is sound statically, but callback routing hides the form on Inbox/Calendar; password policy breadth and other-session revocation need runtime verification","apps/site/src/app/team/auth/route.ts:58-75; apps/site/src/app/team/page.tsx:975-1004; apps/api/app/api/team/password/route.ts:5-19"
"instant-quote","Read latest 25 instant quotes and delete one","Anonymous-capable /team/instant-quotes/:id page -> InstantQuotesSection/DeleteInstantQuoteForm -> deleteInstantQuoteAction","No shared /team layout or page guard; server action has no action-local principal check","Admin key only; instant-quote list/detail/delete endpoints have no requirePermission","No delete audit event identified","static-fail","Anonymous requests can expose customer quote PII/analytics and invoke deletion; arbitrary route ID still mounts latest-25 list. Booking handoff loops to the same page","apps/site/src/app/team/instant-quotes/[id]/page.tsx:1-12; apps/site/src/app/team/components/InstantQuotesSection.tsx:900-910,1440-1445; apps/site/src/app/team/components/DeleteInstantQuoteForm.tsx:16-24; apps/site/src/app/team/actions.ts:518-545; apps/api/app/api/admin/instant-quotes/[id]/route.ts:11-33"
"classic","No unique sensitive mutation; reuses canonical tab actions","GET /team?tab=:id&layout=classic and classic forms","Same flawed page authentication as modern shell","Same upstream gates as the corresponding canonical action","Same action-specific audit behavior as canonical surfaces","compatibility-reviewed","Classic adds no independent authorization boundary; regression-only runtime coverage is blocked, and switching from modern does not currently append layout=classic","apps/site/src/app/team/page.tsx:256-278,1082-1218; apps/site/src/app/team/components/TeamAppShell.tsx:627-635,781-793"
