"surface_id","subviews","intended_roles","nav_permission","render_gate","primary_actions","site_proxies_or_server_actions","upstream_endpoints","primary_entities","source_evidence","status"
"owner","overview; job revenue; payments; expenses; payroll; P&L; owner assistant","owner","owner","hasOwner","review financial KPIs and attribution; inspect jobs/receipts/payroll; reconcile provider attempts/events/refunds and Stripe allocations; ask owner assistant","paymentReconciliationAction; /api/owner-chat; /api/team/expenses/:id/receipt","/api/revenue/summary; /api/admin/expenses*; /api/admin/commissions/summary; /api/admin/commissions/payroll-summary; /api/admin/appointments/source-summary; /api/admin/payments/reconciliation; /api/appointments","revenue windows/jobs; payments/refunds/provider events; expenses/receipts; commissions/payroll; booking-source attribution; assistant messages","apps/site/src/app/team/components/OwnerSection.tsx:221; apps/site/src/app/team/components/OwnerSection.tsx:430; apps/site/src/app/team/components/PaymentReconciliationPanel.tsx:153; apps/site/src/app/team/components/OwnerAssistClient.tsx:14; apps/site/src/app/team/page.tsx:833","canonical; owner-only high-impact financial workspace"
"google-ads","connection/sync status; performance summary and campaigns; analyst settings; report list/detail; recommendation queue","owner; office and read_only by declared permissions","policy.read","hasOwner","sync Ads; choose campaign/report; run analyst; enable autonomy; approve/ignore/apply recommendations singly or in bulk","runGoogleAdsSyncAction; runGoogleAdsAnalystAction; saveGoogleAdsAnalystSettingsAction; updateGoogleAdsAnalystRecommendationAction; applyGoogleAdsAnalystRecommendationAction; bulkUpdateGoogleAdsAnalystRecommendationsAction; bulkApplyGoogleAdsAnalystRecommendationsAction","/api/admin/google/ads/status; /api/admin/google/ads/summary; /api/admin/google/ads/sync; /api/admin/google/ads/analyst/status; /api/admin/google/ads/analyst/reports*; /api/admin/google/ads/analyst/recommendations*; /api/admin/google/ads/analyst/settings","Google Ads accounts/campaign metrics; analyst runs/reports; recommendations; autonomy settings","apps/site/src/app/team/components/MarketingSection.tsx:209; apps/site/src/app/team/components/MarketingSection.tsx:230; apps/site/src/app/team/actions.ts:5096; apps/site/src/app/team/actions.ts:5172; apps/site/src/app/team/page.tsx:857","canonical; access drift: office/read_only can satisfy nav permission but only owner renders; recommendation apply mutates external ads state"
"web-analytics","range selector; traffic summary; conversion funnel; error telemetry; Core Web Vitals; Ads report/campaign context","owner; office and read_only by declared permissions","policy.read","hasOwner","change reporting range; inspect acquisition/conversion/errors/vitals; carry Google Ads context","server-rendered callAdminApi reads; GET query navigation","/api/admin/web/analytics/summary; /api/admin/web/analytics/funnel; /api/admin/web/analytics/errors; /api/admin/web/analytics/vitals","web sessions/events; funnel stages; client errors; performance vitals; campaign/report filters","apps/site/src/app/team/components/WebAnalyticsSection.tsx:98; apps/site/src/app/team/components/WebAnalyticsSection.tsx:112; apps/site/src/app/team/page.tsx:869","canonical; access drift: office/read_only can satisfy nav permission but only owner renders; read-only surface"
"seo","agent status/config; latest run; generated post list; public post links","owner; office and read_only by declared permissions","policy.read","hasOwner","inspect SEO agent state and posts; force autopublish run; open blog index/post","runSeoAutopublishAction","/api/admin/seo/status; /api/admin/seo/run","SEO agent configuration/runs; generated blog posts; keywords/metadata","apps/site/src/app/team/components/SeoAgentSection.tsx:94; apps/site/src/app/team/components/SeoAgentSection.tsx:139; apps/site/src/app/team/actions.ts:5040; apps/site/src/app/team/page.tsx:881","canonical; access drift: office/read_only can satisfy nav permission but only owner renders; force run publishes externally visible content"
"policy","system-health banner; business/quiet hours; service area; company profile; agent persona/name; inbox alerts; booking/confirmation/follow-up rules; job/item policy; templates; reviews","owner; office and read_only by declared permissions","policy.read","hasOwner","edit operational policy, prompts, templates, automation timings, service constraints, fees and review request behavior","updatePolicyAction and typed update*PolicyAction family; updateSalesAutopilotSignatureAction; server-rendered system health","/api/admin/policy; /api/admin/sales/autopilot; /api/admin/system/health","policy settings; business calendar; service geography; company profile; conversation prompt/templates; booking/follow-up rules; system findings","apps/site/src/app/team/components/PolicyCenterSection.tsx:207; apps/site/src/app/team/components/PolicyCenterSection.tsx:381; apps/site/src/app/team/actions.ts:3133; apps/site/src/app/team/page.tsx:842","canonical; access drift: nav label is read permission but render is owner-only and forms perform broad writes"
"automation","Sales Autopilot; channel overrides; planner auto-send; live-reply autonomy; Facebook closer/coaching; mode guide; recent actions; per-lead kill switches","owner; office and read_only by declared permissions","automation.read","hasOwner","set global/channel autonomy; tune delays/actions; configure Facebook closer/coaching; pause/DNC/human-takeover a lead; set follow-up state","updateAutomationModeAction; updateSalesAutopilotPolicyAction; updateLeadAutomationAction","/api/admin/automation; /api/admin/automation/lead; /api/admin/sales/autopilot","automation channel modes; autopilot policy; Facebook closer/coaching policy; lead follow-up state; recent actions","apps/site/src/app/team/components/AutomationSection.tsx:147; apps/site/src/app/team/components/AutomationSection.tsx:201; apps/site/src/app/team/actions.ts:3680; apps/site/src/app/team/actions.ts:3936; apps/site/src/app/team/page.tsx:889","canonical; access drift: office/read_only can satisfy nav permission but only owner renders; controls can autonomously message customers"
"commissions","payout-run list/detail; create/lock/mark-paid controls; reports/exports; reimbursement adjustments; fixed settings summary; retired override-day history","owner","access.manage","hasOwner","create current run; lock or mark paid; download report/export; add/edit/delete reimbursements; inspect payout composition","/api/team/commissions/payout-runs; /api/team/commissions/payout-runs/:id/report; /api/team/commissions/payout-runs/:id/export; /api/team/commissions/payout-runs/:id/reimbursements","/api/admin/commissions/settings; /api/admin/commissions/payout-runs*; /api/admin/commissions/crew-pool-overrides; /api/admin/team/members","commission settings; payout runs/items; team members; payroll/expense reimbursements; crew-pool override history","apps/site/src/app/team/components/CommissionsSection.tsx:152; apps/site/src/app/team/components/CommissionsSection.tsx:227; apps/site/src/app/team/components/CommissionsSection.tsx:279; apps/site/src/app/api/team/commissions/payout-runs/route.ts:30; apps/site/src/app/team/page.tsx:849","canonical; owner-only; lifecycle actions alter payable financial records while retired settings remain visible"
"access","lead routing; role list/create; team-member list/edit; permission grant/deny; create member; delete member","owner","access.manage","hasOwner","change default sales assignee; create roles; create/update/deactivate/delete members; set role/contact info; grant/deny permissions; copy invite data","/api/team/access/sales-settings; /api/team/access/roles; /api/team/access/members; /api/team/access/members/:id; /api/team/access/members/:id/delete","/api/admin/sales/settings; /api/admin/roles; /api/admin/team/members*; /api/public/team/session","roles/permissions; team members; member sessions; lead-routing settings","apps/site/src/app/team/components/AccessSection.tsx:31; apps/site/src/app/team/components/AccessSection.tsx:94; apps/site/src/app/team/components/AccessSection.tsx:134; apps/site/src/app/team/components/AccessSection.tsx:176; apps/site/src/app/api/team/access/members/route.ts:73; apps/site/src/app/team/page.tsx:897","canonical; owner-only identity administration; irreversible member deletion is inline behind typed confirmation"
"sales-log","member filter; performance/supervisor summary; chronological grouped activity; contact links","owner; office and read_only by declared permissions","audit.read","hasOwner","filter by team member; inspect touches, outcomes, draft/autosend and appointment-preservation performance; open contact","server-rendered callAdminApi reads; GET memberId navigation","/api/admin/sales/activity; /api/admin/team/members","sales activity events; team members; contacts; supervisor/close-loop metrics","apps/site/src/app/team/components/SalesActivityLogSection.tsx:251; apps/site/src/app/team/components/SalesActivityLogSection.tsx:256; apps/site/src/app/team/components/SalesActivityLogSection.tsx:353; apps/site/src/app/team/page.tsx:905","canonical; access drift: office/read_only can satisfy nav permission but only owner renders; read-only investigative surface"
"audit","latest 50 audit events","owner; office and read_only by declared permissions","audit.read","hasOwner","review timestamp, actor, action, entity and metadata for recent events","server-rendered callAdminApi read","/api/admin/audit?limit=50","audit events; actors/team members; affected entity references; metadata","apps/site/src/app/team/components/AuditLogSection.tsx:33; apps/site/src/app/team/components/AuditLogSection.tsx:45; apps/site/src/app/team/page.tsx:913","canonical; access drift: office/read_only can satisfy nav permission but only owner renders; fixed 50-row window has no filters/pagination"
"merge","pending suggestion queue; duplicate comparison; manual merge form","owner","contacts.merge","hasOwner","scan for duplicates; manually merge source into target; approve or decline suggestions","scanMergeSuggestionsAction; manualMergeContactsAction; approveMergeSuggestionAction; declineMergeSuggestionAction","/api/admin/merge-suggestions; /api/admin/merge-suggestions/scan; /api/admin/merge-suggestions/:id; /api/admin/merge","merge suggestions; source/target contacts; confidence/reason metadata; merged contact graph","apps/site/src/app/team/components/MergeQueueSection.tsx:33; apps/site/src/app/team/components/MergeQueueSection.tsx:50; apps/site/src/app/team/actions.ts:4013; apps/site/src/app/team/actions.ts:4099; apps/site/src/app/team/page.tsx:921","canonical; owner-only destructive data-consolidation workflow"
"chat","contact picker; text/voice conversation; tool suggestions; confirmation cards; booking flow","owner; office; sales by declared permissions","messages.send","hasOffice OR hasOwner","ask operational questions; dictate/play speech; select contact; preview/confirm/dismiss actions such as contact/quote/task/reminder/booking/reschedule/text/note/ads changes","/api/chat; /api/chat/stt; /api/chat/tts; /api/chat/book; /api/chat/actions","OpenAI Responses/audio APIs; /api/admin/contacts*; /api/admin/tools/contact; /api/admin/tools/quote; /api/admin/booking/*; /api/admin/crm/tasks; /api/admin/crm/reminders; /api/admin/inbox/threads*; /api/appointments*; analytics/revenue/ads read tools","contacts; agent messages; action suggestions/confirmations; appointments; quotes; tasks/reminders; conversation threads; operational metrics","apps/site/src/app/team/components/ChatSection.tsx:18; apps/site/src/app/team/components/TeamChatClient.tsx:151; apps/site/src/app/team/components/TeamChatClient.tsx:464; apps/site/src/app/team/components/TeamChatClient.tsx:745; apps/site/src/app/api/chat/actions/route.ts:145; apps/site/src/app/team/page.tsx:735","canonical; access drift: sales is permissioned but globally rejected; broad agent tool surface concentrates high-impact actions"
"settings","account identity/status; password setup; logout; calling guidance; emergency legacy sessions; owner conversation export; owner calendar-sync badge","all authenticated team roles; legacy owner/crew sessions","none","global page auth: hasOwner OR hasOffice OR hasCrew","log out; optionally set password; clear legacy crew/owner cookies; download owner JSONL export; inspect calendar sync","teamLogoutAction; teamSetPasswordAction; logoutCrew; logoutOwner; /api/team/inbox/export; server-rendered /api/calendar/status","/api/team/logout; /api/team/password; /api/admin/inbox/export; /api/calendar/status","team member/session; password state; legacy sessions; conversation export; calendar integration status","apps/site/src/app/team/page.tsx:928; apps/site/src/app/team/page.tsx:968; apps/site/src/app/team/page.tsx:975; apps/site/src/app/team/page.tsx:1015; apps/site/src/app/team/page.tsx:1039","canonical; unpermissioned nav item but global auth excludes defined sales/read_only roles; mixes account and system utility concerns"
"login","already-signed-in notice; magic-link request; password sign-in; emergency owner key; emergency crew key","anonymous users and all team-role candidates","none; public route","public; mere presence of team-session cookie switches to signed-in notice","request magic link by email/phone; password login; legacy owner/crew key login","requestTeamMagicLinkAction; teamPasswordLoginAction; AdminLoginForm; CrewLoginForm","/api/public/team/request-link; /api/public/team/login-password; legacy admin/crew login endpoints","team members; password credentials; login tokens; team sessions; legacy owner/crew sessions","apps/site/src/app/team/login/page.tsx:8; apps/site/src/app/team/login/page.tsx:51; apps/site/src/app/team/login/page.tsx:74; apps/site/src/app/team/login/actions.ts:22; apps/site/src/app/team/login/actions.ts:38","auxiliary-auth; cookie presence is not validated before showing already-signed-in state; emergency credentials remain exposed as a fallback path"
"auth","magic-link callback/exchange","holder of a valid single-use team login token","none; public callback","public GET; token query is required and exchange must succeed","exchange token; set secure team-session cookie; redirect to /team or password setup","GET /team/auth; callTeamPublicApi; teamSessionCookieOptions","/api/public/team/exchange","login token; team member; team session; needs-password-setup flag","apps/site/src/app/team/auth/route.ts:41; apps/site/src/app/team/auth/route.ts:49; apps/site/src/app/team/auth/route.ts:64","auxiliary-auth; focused callback with explicit failure redirects"
"modern-shell","desktop sidebar; quick nav; grouped nav; utility nav; mobile drawer; access/user footer; theme and collapse state","all team roles per role catalog; runtime accepts owner/office/crew and legacy owner/crew","filters each item by its declared requires value","global page auth plus each tab content render gate; active when layout is not classic","navigate surfaces; open/close mobile drawer; collapse sidebar/groups; toggle theme; attempt classic switch","TeamAppShell client routing; localStorage for theme/sidebar/groups; child surfaces supply all data actions","none beyond mounted child surface endpoints","active tab/query; nav groups/items; authenticated principal/access flags; brand; browser UI preferences","apps/site/src/app/team/page.tsx:145; apps/site/src/app/team/page.tsx:1164; apps/site/src/app/team/page.tsx:1202; apps/site/src/app/team/components/TeamAppShell.tsx:539; apps/site/src/app/team/components/TeamAppShell.tsx:562","auxiliary-shell; global auth rejects sales/read_only; classic button is wired to a URL without layout=classic and is effectively a no-op"
"instant-quote","selected instant-quote detail; analytics/lead summary; photo/media links; recent 25 instant quotes","owner/office operations inferred; code declares no role","none; orphan route outside /team tab navigation","no route-level auth guard; server component calls admin API with service credentials","inspect quote/lead/detail and media; follow circular booking link; delete selected or list item","deleteInstantQuoteAction; server-rendered callAdminApi reads","/api/admin/instant-quotes; /api/admin/instant-quotes/:id","instant quotes; lead/contact details; pricing summary; photos/media; appointment-prefill fields; analytics","apps/site/src/app/team/instant-quotes/[id]/page.tsx:1; apps/site/src/app/team/components/InstantQuoteDetail.tsx:53; apps/site/src/app/team/components/InstantQuotesSection.tsx:900; apps/site/src/app/team/actions.ts:518","auxiliary-orphan; critical access gap: public route exposes admin-backed quote data and deletion action; booking CTA points back to detail route"
"quote-builder","same create-builder and manage-list pair as canonical quotes","owner; office; crew; sales and read_only by inherited appointments permission","not listed; normalizes to quotes and inherits appointments.read","normalizes to quotes; hasCrew OR hasOffice OR hasOwner","same as quotes","same as quotes; forced quoteMode=builder","same as quotes","same as quotes","apps/site/src/app/team/page.tsx:256; apps/site/src/app/team/page.tsx:261; apps/site/src/app/team/components/QuotesHubSection.tsx:16","alias; forced builder mode is passed but ignored, so behavior is indistinguishable from canonical quotes"
"canvass","same create-builder and manage-list pair as canonical quotes; dedicated CanvassSection is not mounted","owner; office; crew; sales and read_only by inherited appointments permission","not listed; normalizes to quotes and inherits appointments.read","normalizes to quotes; hasCrew OR hasOffice OR hasOwner","same as quotes; no canvass-specific workflow","same as quotes; forced quoteMode=canvass","same as quotes","same as quotes","apps/site/src/app/team/page.tsx:264; apps/site/src/app/team/components/QuotesHubSection.tsx:16; apps/site/src/app/team/components/CanvassSection.tsx:1","alias; intended canvass mode is ignored and the dedicated component is unreachable"
"marketing","Google Ads surface","owner; office and read_only by inherited policy permission","not listed; normalizes to google-ads and inherits policy.read","normalizes to google-ads; hasOwner","same as google-ads","same as google-ads","same as google-ads","same as google-ads","apps/site/src/app/team/page.tsx:267; apps/site/src/app/team/components/MarketingSection.tsx:209","alias; stable legacy name for google-ads; inherits owner-only render drift"
"myday","calendar week/month/day and event detail; dedicated MyDaySection is not mounted","owner; office; crew; sales and read_only by inherited calendar permissions","not listed; normalizes to calendar and inherits bookings.manage OR appointments.read","normalizes to calendar; hasCrew OR hasOffice OR hasOwner","same as calendar; no my-day-specific prioritization","same as calendar","same as calendar","same as calendar","apps/site/src/app/team/page.tsx:269; apps/site/src/app/team/components/MyDaySection.tsx:1; apps/site/src/app/team/components/CalendarSection.tsx:39","alias; dedicated My Day experience is unreachable because alias normalizes to generic calendar"
"estimates","role-dependent redirect-by-normalization: owner sees inbox; office/crew see calendar","owner; office; crew; sales/read_only implied only by target permission catalogs","not listed; target is chosen after authentication","owner -> inbox render; office/crew -> calendar render; sales/read_only fail global auth","owner receives inbox actions; office/crew receive calendar actions","inherits target surface actions/proxies","inherits inbox or calendar upstream endpoints","inherits inbox or calendar entities","apps/site/src/app/team/page.tsx:272; apps/site/src/app/team/page.tsx:274; apps/site/src/app/team/page.tsx:741; apps/site/src/app/team/page.tsx:759","alias; label-to-destination semantics are unrelated to estimates and differ by role"
"classic","classic header; access badges; grouped TabNav; same active tab content as modern shell","runtime owner/office/crew plus legacy owner/crew; per-tab intended roles unchanged","per active tab through TabNav requires filtering","global page auth plus active tab render gate; active only with layout=classic","navigate tabs and perform the same mounted tab actions","same child surface actions/proxies; layout query is propagated across classic tab links","same as active child surface","same as active child surface plus layout/query state","apps/site/src/app/team/page.tsx:348; apps/site/src/app/team/page.tsx:542; apps/site/src/app/team/page.tsx:1082; apps/site/src/app/team/page.tsx:1147","alternate-layout; manually reachable with layout=classic; modern-shell Classic button currently omits the required query value"
